term,definition,notes,category,theme_primary,register,authority_requirement,proof_type,exposure_cost,overuse_penalty,silence_preferred_when_blocked,replacement_if_blocked,cultural_specificity,scene_weight,era_scene,usage_mode
Swipe,"""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Method,"""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Bin,"""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
CashApp,"""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Bitcoin,"""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""The Dark Web","""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" VPN.","""Scam Rap"" motifs; the evolution of the street hustle into digital white-collar crime.","Digital Finance motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Rick Owens,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""","High Fashion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Maison Margiela,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""","High Fashion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Chrome Hearts,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""","High Fashion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Celine,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""","High Fashion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Saint Laurent.,"Moving beyond ""mall brands"" to avant-garde and high-couture ""drip.""","High Fashion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Jordan 1s,"Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.","Footwear motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Yeezys,"Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.","Footwear motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Red Bottoms"" (Christian Louboutin)","Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.","Footwear motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Bape Stas.,"Sneaker culture is the backbone of rap fashion; ""Red Bottoms"" usually refers to heels for women.","Footwear motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Opps (Opposition),The reality of neighborhood rivalries and the dangers of fame.,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Drilling",The reality of neighborhood rivalries and the dangers of fame.,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Spinning the block",The reality of neighborhood rivalries and the dangers of fame.,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Smoke"" (conflict).",The reality of neighborhood rivalries and the dangers of fame.,"The ""Ops"" & Conflict motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Indictment,The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,"Legal & Prison motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
RICO act,The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,"Legal & Prison motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""The Feds",The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,"Legal & Prison motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" Lawyer fees",The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,"Legal & Prison motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Going up top.""",The constant threat of the legal system; often used to highlight the stakes of the lifestyle.,"Legal & Prison motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Area codes (313,"Local pride and establishing ""territory"" or ""home court advantage.""","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
212,"Local pride and establishing ""territory"" or ""home court advantage.""","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
404),"Local pride and establishing ""territory"" or ""home court advantage.""","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""The 6"" (Toronto)","Local pride and establishing ""territory"" or ""home court advantage.""","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""The Town","Local pride and establishing ""territory"" or ""home court advantage.""","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""The A.""","Local pride and establishing ""territory"" or ""home court advantage.""","Geography motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Wockhardt/Lean (Purple Drank),"Often used to discuss escapism, addiction, or the partying lifestyle.","Vice & Substances motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Gas/Zaza"" (high-grade weed)","Often used to discuss escapism, addiction, or the partying lifestyle.","Vice & Substances motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Percocet,"Often used to discuss escapism, addiction, or the partying lifestyle.","Vice & Substances motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Addy.""","Often used to discuss escapism, addiction, or the partying lifestyle.","Vice & Substances motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Snitching,The moral code of the streets; the difficulty of knowing who to trust after getting rich.,"Loyalty & Betrayal motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Ratting",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,"Loyalty & Betrayal motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Day ones",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,"Loyalty & Betrayal motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Day hunnids",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,"Loyalty & Betrayal motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Circle small.""",The moral code of the streets; the difficulty of knowing who to trust after getting rich.,"Loyalty & Betrayal motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Shooting like Curry",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,"Sports References motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Ballin' like Kobe",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,"Sports References motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Moving like a GM",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,"Sports References motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Draft day.""",Comparing success in the music industry to the physical prowess and wealth of pro athletes.,"Sports References motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Nobu,"The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.","Dining & Lifestyle motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Catch,"The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.","Dining & Lifestyle motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Carbone,"The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.","Dining & Lifestyle motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Private Chefs","The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.","Dining & Lifestyle motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" Flying Private (PJ).","The ""fine dining"" phase of a rapper’s career; moving from fast food to world-class cuisine.","Dining & Lifestyle motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Glock,"Used as metaphors for protection or aggression within the ""Drill"" subgenre.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Draco,"Used as metaphors for protection or aggression within the ""Drill"" subgenre.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Stick","Used as metaphors for protection or aggression within the ""Drill"" subgenre.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Pole","Used as metaphors for protection or aggression within the ""Drill"" subgenre.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""30-round clip","Used as metaphors for protection or aggression within the ""Drill"" subgenre.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Laser.""","Used as metaphors for protection or aggression within the ""Drill"" subgenre.","Weaponry motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Penthouse,"Represents the final stage of success: leaving the ""hood"" and investing in property.","Real Estate motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Gated Community,"Represents the final stage of success: leaving the ""hood"" and investing in property.","Real Estate motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""The Hills","Represents the final stage of success: leaving the ""hood"" and investing in property.","Real Estate motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Buying the block back.""","Represents the final stage of success: leaving the ""hood"" and investing in property.","Real Estate motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Trickin' off","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.","Tricking / Providing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Sponsorship","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.","Tricking / Providing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Pay the rent","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.","Tricking / Providing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Bagging her","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.","Tricking / Providing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Allowance.""","Spending large sums on a partner's bills, hair, nails, or luxury gifts to secure their company.","Tricking / Providing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""BBL"" (Brazilian Butt Lift)",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,"Cosmetic Surgery motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Turks & Caicos"" (surgery recovery spot)",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,"Cosmetic Surgery motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""New body",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,"Cosmetic Surgery motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Doctor Shopping.""",Paying for a partner’s physical enhancements is a common status symbol in modern lyrics.,"Cosmetic Surgery motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Birkin Bag (Hermès),"These specific items are often the ""currency"" used in tricking or gifting.","Luxury Accessories motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Kelly Bag,"These specific items are often the ""currency"" used in tricking or gifting.","Luxury Accessories motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Chanel,"These specific items are often the ""currency"" used in tricking or gifting.","Luxury Accessories motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Red Bottoms"" (Louboutin)","These specific items are often the ""currency"" used in tricking or gifting.","Luxury Accessories motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Chinchilla.""","These specific items are often the ""currency"" used in tricking or gifting.","Luxury Accessories motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Captain Save-a-Hoe","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).","The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Simpin'","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).","The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Pimpin' ain't easy","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).","The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Main squeeze"" vs. ""Side piece.""","The internal debate in rap: being a provider (often mocked) versus being a ""player"" (celebrated).","The ""Simp"" vs. ""Pimp"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""G5"" (Gulfstream jet)","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.","Travel & Logistics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""First Class","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.","Travel & Logistics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Passport stamps","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.","Travel & Logistics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Exotic locations","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.","Travel & Logistics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Villas.""","Moving a woman or the ""squad"" across the world; ""PJ"" (Private Jet) culture is the peak of this theme.","Travel & Logistics motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Saks Fifth Avenue,"Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.","High-End Retail motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Neiman Marcus (""Nee-mees"")","Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.","High-End Retail motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Barneys,"Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.","High-End Retail motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Rodeo Drive.,"Where the ""tricking"" actually happens; references to ""running up a tab"" for someone else.","High-End Retail motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Bottle Service",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,"Hospitality / Clubs motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Section",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,"Hospitality / Clubs motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Rain on 'em",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,"Hospitality / Clubs motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Making it rain",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,"Hospitality / Clubs motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Starlets"" (NYC club).",Spending thousands on alcohol and dancers in a single night to show dominance in the room.,"Hospitality / Clubs motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Transformation",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,"The ""Glow Up"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Used to have nothing",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,"The ""Glow Up"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Now we on",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,"The ""Glow Up"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Upgrade.""",Discussing how the rapper (or their partner) looks and lives significantly better than before the fame.,"The ""Glow Up"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""NDA","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.","Discretion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""No cameras","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.","Discretion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Keep it low","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.","Discretion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
""" ""Deleted the footage.""","A sub-theme regarding the privacy required when living a high-stakes or ""tricking"" lifestyle.","Discretion motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Paying for access or attention; often transactional.,"Someone the rapper just met or a ""video vixen.""","Tricking motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Rewarding loyalty or ""holding it down"" during the struggle.","The ""Day One"" partner or ""Main Chick.""","Spoiling motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Extracting resources through charm or deception.,"The ""Mark"" or the ""Trick"" (the person paying).","Finessing motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Long-term financial backing in exchange for a lifestyle.,"An ""Instagram Model"" or socialite.","Sponsorship motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
The Core Objective,Key Themes & Lyrics,"Agenda Category motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Questioning the authenticity of an artist’s rise to fame.,"""Industry Plants,"" ""Selling your soul,"" rigged awards (Grammys).","The Industry Agenda motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Critiquing or exposing the ""unseen"" forces in society.","Systemic oppression, ""The Matrix,"" Government surveillance.","The Social/Political Ada motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Asserting dominance,"Financial dominance over women, emotional coldness, ""City Boys Up.""","The Male Agenda motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
detachment,"Financial dominance over women, emotional coldness, ""City Boys Up.""","The Male Agenda motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
